comment,hospital,star,rating
"Nhân viên y tế nhiệt tình hướng dẫn bệnh nhân, bác sĩ thân thiện khám  và tư vấn kỹ càng. Dịch vụ nhanh chóng ko để đợi lâu, phòng ốc sạch sẽ và hiện đại",Bệnh viện Đa khoa Tâm Trí Nha Trang,5 sao,"4,6"
"Nhân viên bệnh viện và chăm sóc KH rất dễ thương , mấy bạn điều dưỡng khoa ngoại nhiệt tình hỗ trợ , mình và người nhà cảm thấy rất thoải mái",Bệnh viện Đa khoa Tâm Trí Nha Trang,5 sao,"4,6"
"Khám buổi sáng hơi đông nhưng mọi thứ vẫn nhanh gọn , bác sĩ tư vấn kĩ , chu đáo , nhân viên thân thiện vui vẻ",Bệnh viện Đa khoa Tâm Trí Nha Trang,5 sao,"4,6"
"Bệnh viện sạch sẽ, cơ sở vật chất tốt, thái độ y bác sĩ thân thiện tận tình.",Bệnh viện Đa khoa Tâm Trí Nha Trang,5 sao,"4,6"
"Dịch vụ tốt,đội ngũ bác sĩ y tá chuyên nghiệp,phục vụ nhiệt tình,ân cần chu đáo.",Bệnh viện Đa khoa Tâm Trí Nha Trang,5 sao,"4,6"
"BV Tâm Trí Nha Trang là một bệnh viện uy tín để khám chữa bệnh ở Nha Trang. Tôi hay khám sức khoẻ và đưa bé đến khám bệnh ở đây. Đội ngũ nhân viên y tế giỏi và rất có tâm. Hướng dẫn nhiệt tình, chu đáo. Bệnh viện còn liên kết với nhiều cty …",Bệnh viện Đa khoa Tâm Trí Nha Trang,5 sao,"4,6"
"Mình vừa khám xong , bệnh viện sạch sẽ lối đi dễ tìm , thông thoáng các tầng , nhân viên hướng dẫn nhiệt tình , bác sĩ tư vấn khá ổn",Bệnh viện Đa khoa Tâm Trí Nha Trang,5 sao,"4,6"
"Bệnh viện có dịch vụ tốt, thủ tục nhanh gọn. Đội ngũ y bác sĩ chuyên nghiệp, chu đáo, tư vấn kỹ, nhiệt tình. Căn tin, nhà vệ sinh sạch sẽ",Bệnh viện Đa khoa Tâm Trí Nha Trang,5 sao,"4,6"
"Phục vụ và thăm khám tận tình, mặc dù khá đông bệnh nhân nhưng các bạn chăm sóc khách hàng bên bệnh việc cũng như đội ngũ bác sĩ làm việc rất chỉnh chu.",Bệnh viện Đa khoa Tâm Trí Nha Trang,5 sao,"4,6"
"Dịch vụ tốt
Bác sĩ nhiệt tình
Thái độ nhân viên vui vẻ
Sẽ quay lại nhiều lần",Bệnh viện Đa khoa Tâm Trí Nha Trang,5 sao,"4,6"
"Lần đầu đến khám tại bệnh viện, nhưng tôi cực kì ấn tượng bởi cách đón tiếp và chăm sóc khách hàng của đội ngũ nhân viên ở đây. Tất cả nhân viên mà tôi thăm khám ngày hôm đó đều hỗ trợ rất nhiệt tình, tuy nhiên, tôi ấn tượng nhất với bạn …",Bệnh viện đa khoa Sài Gòn Nha Trang,5 sao,"4,0"
"Chân thành cảm ơn đội ngũ bác sĩ và điều dưỡng đã tận tình điều trị cho chồng tôi. Đặc biệt cảm ơn bác sĩ Hùng trưởng khoa ngoại, bác rất tận tâm, giỏi, phẫu thuật và lên phác đồ rất hay trong quá trình điều trị cho chồng tôi. Cảm ơn các bạn điều dưỡng khoa ngoại Hà, Nhung,Sương,Thanh. Bệnh viện tốt dịch vụ ok lắm nhé mọi người",Bệnh viện đa khoa Sài Gòn Nha Trang,5 sao,"4,0"
"Mình bị trào ngược dạ dày. Có tới BV khám. Siêu âm, xét nghiệm máu, đo điện tim, r nội soi. Bác sĩ kêu là nhẹ k có gì. Ún thuốc sẽ hết. Mà ún tới nay cũng 1 tuần rồi. K thấy hết đau mà nó mún nặng thêm. Tốn tiền nội soi đủ thứ mà cũng k ra sao cả.",Bệnh viện đa khoa Sài Gòn Nha Trang,2 sao,"4,0"
"Bệnh viện này ko có bs cố định hay s đó.mỗi ngày là thấy 1 bs khác thăm khám.vào điều trị chủ yếu là điều dưỡng,y tá.hên thì gặp bsi tốt,xui thì gặp bsi vì tiền.nếu mà khám chữa bệnh mà muốn sạch sẽ thì đến đây. Vì điều trị là được dọng 1 …",Bệnh viện đa khoa Sài Gòn Nha Trang,1 sao,"4,0"
Nhân viên hướng dẫn có bạn tóc xoăn xù thiếu lịch sự. Chỉ ngồi một chỗ chỉ tay nói với hướng dẫn khách hàng. Bệnh viện lớn mà nhân viên thiếu chuyên nghiệp,Bệnh viện đa khoa Sài Gòn Nha Trang,2 sao,"4,0"
Tôi đặc biệt hài lòng với quá trình siêu âm cho bệnh nhân của bs Dương.,Bệnh viện đa khoa Sài Gòn Nha Trang,5 sao,"4,0"
