comment,hospital,star,rating
"Cơ sở mới phòng khám sạch đẹp. BS khám ổn.
NVS chưa sạch lắm và vẫn có mùi.
Phòng bệnh bhyt chỉ bật điều hoà vào 10h-15h, 23h-6h. Chưa thấy bv nào như vậy. Rất hại sức khoẻ, bv nên xem lại.",Bệnh viện Vũng Tàu,3 sao,"2,6"
"Bảo vệ thang máy như ông nội, như giám đốc bệnh viện ấy. Nhà người ta phải thay phiên nhau vào trực, đòi phải có thẻ mới cho lên thăm bệnh. Thái độ với người nhà bệnh nhân , người nhà bệnh nhân nói lại thì kêu lại chửi . Văn minh quá cơ",Bệnh viện Vũng Tàu,1 sao,"2,6"
"Bác sĩ nhiệt tình, tư vấn dễ hiểu, khám nhanh, cơ sở vật chất được cải thiện.",Bệnh viện Vũng Tàu,4 sao,"2,6"
"Quá tệ!!! Chưa bao giờ mình đánh giá dịch vụ gì trên google như thế này
Nay mình về quê nên mình mới lần đầu trải nghiệm dịch vụ tại đây
Bệnh nhân thì ít, khám thì lâu, quy trình cồng kềnh, chờ đợi lâu …",Bệnh viện Vũng Tàu,1 sao,"2,6"
"Mọi người nhìn khung cảnh như một công viên thực sự. Không ai có thể nghĩ đây là khuôn viên bệnh viện.
Quá ấn tượng cùng cơ sở hạ tầng, nhân viên phục vụ với sự sạch sẽ, thân thiện và …",Bệnh viện Vũng Tàu,5 sao,"2,6"
E có lại bệnh viện khám bệnh cho bé bé mới 1 tháng 20 ngày sét nghiệm máu siêu âm bình thường rồi cho nhập viện từ 13h ngày 15/11/2024- 18h  bé cứ quấy khóc mà k có thuốc uống bs thì k thấy ai lại thăm khám y tá bé quấy khóc thì kêu đợi bs chắc yta k biết j hay sao bs thì k thấy đâu,Bệnh viện Vũng Tàu,1 sao,"2,6"
"Bệnh viện mới được xây dựng, trang thiết bị mới, hi vọng người dân sẽ được điều trị tốt nhất",Bệnh viện Vũng Tàu,5 sao,"2,6"
"Bệnh viện nên tổ chức những khóa học kĩ năng giao tiếp định kì cho các y bác sỹ và các cô điều dưỡng tại đây. Họ ăn nói cọc cằn, thô lỗ với bệnh nhân và người nhà bệnh nhân thậm chí với những người đáng tuổi ông bà cha mẹ họ. Bệnh viện xây …",Bệnh viện Vũng Tàu,1 sao,"2,6"
"Hạ tầng ok, sạch sẽ, thoáng mát. Nhà xe rộng, đậu thoải mái. Nên niêm yết giá gửi xe oto. Y tá vui vẻ, nhiệt tình. Đồ ăn ổn. Nâng cao nghiệp vụ là đc. Nếu bệnh thông thường thì ở BV Vũng Tàu ok.",Bệnh viện Vũng Tàu,4 sao,"2,6"
Xin hỏi bảo vệ bệnh viện có quyền thu giữ căn cước công dân của người dân khi đến bệnh viện hay ko. Đến bệnh viện sử dụng xe đẩy cho bệnh nhân bị thu căn cước công dân. Để thất lạc xe đẩy là bị thu luôn. Ai đem xe đẩy ra khỏi bệnh viện đc mà bảo mất.,Bệnh viện Vũng Tàu,1 sao,"2,6"
"Phòng khám sạch sẽ, bác sĩ tư vấn nhiệt tình rõ ràng, nhân viên ân cần, thật tiện lợi không cần phải đi thành phố.",Phòng khám đa khoa 27-4,5 sao,"4,9"
"Mình hài lòng với dịch vụ hướng dẫn của phòng khám, tuy nhiên hôm nay mình đi khám tổng quát và đến phần đọc bảng kết quả, mình vào gặp bsi nội tổng quát từ bênh viện Chợ Rẫy về, mình ko hài lòng về dịch vụ đọc kết quả vì 3 vấn đề: …",Phòng khám đa khoa 27-4,3 sao,"4,9"
"Phòng khám khang trang sạch sẽ, bác sĩ rất thân thiện và tận tình. Mình đi khám nhiều nơi nhưng ưng nhất Phòng khám này",Phòng khám đa khoa 27-4,5 sao,"4,9"
"Tôi thuyền viên của 1 cty lớn ở VT, Dc khám rất nhiều bệnh viện Chân chính trên cả nước nên hiểu dc phần nào khám tổng quát như thế nào là đạt. Trải nghiệm khám ở TTYT-Vsov,nghe cái tên đc khám ở đây thì nghĩ là rất tốt,ở đây cũng có bác sĩ …",Trung tâm Y tế Vietsovpetro,1 sao,"3,4"
"Bệnh viện hiếm hoi nằm trung tâm Vũng Tàu, vì xung quanh chỉ toàn phòng khám thôi. Bé bị thương cần may 1 mũi, chạy lòng vòng mới tìm ra bệnh viện này có khoa cấp cứu ngoài giờ. Cô y tá may có tay nghề tốt, phí tổng 500k (không nhận bảo hiểm ngoài giờ). Trang thiết bị sạch sẽ, có bác sĩ nước ngoài trực nữa, bãi xe ô tô rộng.",Trung tâm Y tế Vietsovpetro,5 sao,"3,4"
"Khám sức khoẻ lái xe máy mà 550.000₫? Khám qua loa, k quan trọng mà lấy nhiều tiền vì mấy cái chữ kí vậy? Mà thế rồi còn lỗi hệ thống đợi 5 ngày k có kết quả?? Thật là đáng thất vọng :(",Trung tâm Y tế Vietsovpetro,1 sao,"3,4"
Tôi đi khám sức khỏe thuyền viên phí 1.921.000₫ lúc khám tổng quát thỳ cơ thể tôi hoàn toàn bình thưởng khám mắt thỳ 10/10 mà bảo tôi bị mù màu tôi ko hiểu kiểu gì tới lúc trả kết quả thỳ kết luận tôi không đủ sức khỏe lao động làm việc trên biển vậy 1.921.000₫ ra đi ngon ơ vậy sao,Trung tâm Y tế Vietsovpetro,1 sao,"3,4"
"Phòng siêu âm ở đây nhân viên thái độ rất kinh khủng người sau thì vào trước nhân viên thì tỏ thái độ khó chịu với khách bỏ tiền ra ko hề xứng đáng
Chất lượng dở tệ …",Trung tâm Y tế Vietsovpetro,1 sao,"3,4"
"Bệnh viện rộng rãi, khu vực khám bệnh và điều trị Đông y, Vật lý trị liệu/ Phục hồi chức năng-Oxy cao áp khang trang hiện đại. Nhân viên thân thiệt nhiệt tình",Trung tâm Y tế Vietsovpetro,5 sao,"3,4"
