comment,hospital,star,rating
"Nv thái độ, bv ko có hướng dẫn cụ thể, lãnh đạo bv nên xem lại cách vận hành",Bệnh viện Đa khoa Huyện Yên Thành,3 sao,"3,1"
Em có cắt trị ở bệnh viện mới được 2 tuần mà em vẫn thấy cũng trị lòi ra nguyên em cũng không biết bệnh viện làm ăn kiểu gì,Bệnh viện Đa khoa Huyện Yên Thành,1 sao,"3,1"
"Đến tận nơi để khám sức khỏe , lấy giấy khám sk mà nó hô tận 160.000đ, sao ko mở dịch vụ làm riêng mà nuốt cho nhiều , bệnh viện tuyến huyện mà ăn của bà con nhân dân cỡ đó thử hỏi còn ai giám đến làm giấy …",Bệnh viện Đa khoa Huyện Yên Thành,1 sao,"3,1"
Người đến sau thì lại gọi trước,Bệnh viện Đa khoa Huyện Yên Thành,1 sao,"3,1"
Bệnh Vien da khoa huyện Yên thành thuộc xom 2 xã tăng thành,Bệnh viện Đa khoa Huyện Yên Thành,4 sao,"3,1"
ghế ngồi chờ bụi bám đặc ko aj vệ sinh,Bệnh viện Đa khoa Huyện Yên Thành,1 sao,"3,1"
Bệnh viện Yên Thành nát quá,Bệnh viện Đa khoa Huyện Yên Thành,4 sao,"3,1"
Ngày càng được cải tiến về quy trình.,Bệnh viện Đa khoa Huyện Yên Thành,3 sao,"3,1"
Nhà vệ sinh là một điều kinh khủng -.-,Bệnh viện Đa khoa Huyện Yên Thành,2 sao,"3,1"
"Thủ tục quá rườm rà,xử lí quá lâu",Bệnh viện Đa khoa Huyện Yên Thành,1 sao,"3,1"
Bệnh viện có thể bật điều hoà được không ạ? Bệnh nhân chưa chết vì bệnh thì đã chết vì nóng rồi.,Bệnh viện Đa khoa khu vực Tây Nam Nghệ An,1 sao,"3,4"
Nên về viết bài báo phục vụ quá  kém,Bệnh viện Đa khoa khu vực Tây Nam Nghệ An,1 sao,"3,4"
Owen con cuông,Bệnh viện Đa khoa khu vực Tây Nam Nghệ An,5 sao,"3,4"
Đánh giá cao sự nhiệt tình và ân cần với bệnh nhân của trưởng khoa siêu âm màu 135! …,Bệnh viện đa khoa Phủ Diễn,3 sao,"3,1"
"Bệnh viện Đa khoa Phủ Diễn được thành lập ngày 31/07/2007, là bệnh viện tư nhân thuộc Tập đoàn Mường Thanh - Tập đoàn kinh tế tổng hợp đa ngành hoạt động trên các lĩnh vực Đầu tư – Xây dựng – Du lịch giải trí và mở rộng sang các lĩnh vực …",Bệnh viện đa khoa Phủ Diễn,3 sao,"3,1"
"Dịch vụ rất tốt, nác sĩ thân thiện nhiệt tình, phòng rộng và thoáng mát, nhất là khoa sản.",Bệnh viện đa khoa Phủ Diễn,5 sao,"3,1"
"Chất lượng vô cùng tốt từ ngày thay đổi quy mô. Hệ thống y bác sĩ nhanh nhẹn, tận tình, có hồ bơi nằm phía bên trái lối đi vào. Có 3 thang máy chính, tuy nhiên, nếu đi tầng 2,3 thì nên đi thang bộ cho nhanh. Hồ phun nước khoảng tầm lúc 6h …",Bệnh viện đa khoa Phủ Diễn,5 sao,"3,1"
"Bệnh viện vệ sinh sạch sẽ, thoáng mát
Bác sĩ và nhân viên nhiệt tình chu đáo",Bệnh viện đa khoa Phủ Diễn,5 sao,"3,1"
"Bác sĩ quá ưu tiên người nhà, đến trước khám sau. Đến sau khám trước.
Bác sĩ dỏm k có kinh nghiệm.
Môi trường sạch sẽ thoáng mát.",Bệnh viện đa khoa Phủ Diễn,1 sao,"3,1"
Chất lượng phục vụ tốt môi trường sạch sẽ,Bệnh viện đa khoa Phủ Diễn,5 sao,"3,1"
"Bé 5 tuổi nằm viện có bảo hiểm. Nghĩ sao bệnh viện thu 80.000đ/1 giường tiền ""phụ thu giường điều hoà"", nằm 8 ngày hết 640k/1 giường.vậy tính ra 80k X 30 ngày = 2,4 triệu/1 giường. 1 phòng ít cũng 5 giường  = 12 triệu. có 1 cái điều hoà 1 …",Bệnh viện đa khoa Phủ Diễn,1 sao,"3,1"
Chỉ đúng đường đi nhanh tiết kiệm dc thời gian,Bệnh viện đa khoa Phủ Diễn,5 sao,"3,1"
"Chất lượng tuyệt vời ko thua gi bv  quốc tế vinh đâu nhé .Phòng mô sinh chuẩn ,nhanh sạch. Bác sĩ cũng nhẹ nhàng nhiệt tình .Ko nhận phong bi bôi dưỡng khi mô xong như các bv khác đâu.Đáng đồng tiền bát gạo .Chi phí cung k cao như mn nghĩ.",Bệnh viện đa khoa Phủ Diễn,5 sao,"3,1"
"Quá tệ hại, chưa khi nào gặp bệnh viện nào tệ như bệnh viện gần nhà như vậy. Mình đi khám bệnh mà thủ tục 2 bà tiếp tân lo ngồi bán hàng dục làm thì chửi rồi khám thì đẩy đi khoa sản trong khi ko nói mang bầu. Mất dạy ko tôn trọng ng bệnh …",Bệnh viện Đa khoa Nam Đàn,1 sao,"3,0"
Quá tệ hại dội ngũ bác sĩ không nhiệt tình với bệnh nhân trả lời thì cau gat khám qua loa không có trách nhiệm trách nhiệm khác hoàn toàn với những gì ghi trên bảng hiệu,Bệnh viện Đa khoa Nam Đàn,1 sao,"3,0"
"MẤY Ả LÀM Ở BỆNH VIỆN QUÁ TỆ, TƯƠNG GIẢ, KHINH THƯỜNG NGƯỜI KHÁC, CHO NGHỈ VIỆC SỚM ĐỂ ĐỠ Ô NHIỄM BỆNH VIỆN NHÉ!!!!!!",Bệnh viện Đa khoa Nam Đàn,1 sao,"3,0"
"quá tệ hại,nằm viện mà không thấy hỏi,thuốc phải 5 lần 7 lượt đi hỏi mới phát",Bệnh viện Đa khoa Nam Đàn,1 sao,"3,0"
Thời đại công nghệ thông tin mà bệnh viện kém quá. Cái số điện thoại để liên hệ với bệnh viện cũng không có trên google map nựa. Thua xa với khu miền núi nữa,Bệnh viện Đa khoa Nam Đàn,1 sao,"3,0"
Hệ thống . Phương thức test covid của bệnh viện quá chán . Không có 1 tý chuyên nghiệp nào cả.,Bệnh viện Đa khoa Nam Đàn,1 sao,"3,0"
Rất tuyệt vời,Bệnh viện Đa khoa Nam Đàn,5 sao,"3,0"
Tốt,Bệnh viện Đa khoa Nam Đàn,4 sao,"3,0"
Nhiệt tình,Bệnh viện Đa khoa Nam Đàn,5 sao,"3,0"
"Năm 2023, Bệnh viện Hữu nghị Đa khoa Nghệ An tiếp tục đi đầu trong phát triển chuyên môn kỹ thuật ở hầu hết các lĩnh vực, trở thành địa chỉ khám chữa bệnh uy tín ở khu vực Bắc Trung Bộ và nước bạn Lào. …",Bệnh viện Hữu nghị Đa khoa Nghệ An,4 sao,"3,6"
"Đội ngũ y bsi đa số nhiệt tình, có số rất ít trường hợp tâm tính hơi bất thường.
nhược điểm nhất là vấn đề dân sinh, tại khoa hồi sức... hành lang cho người nhà …",Bệnh viện Hữu nghị Đa khoa Nghệ An,2 sao,"3,6"
"Bệnh viện rất lớn. Tuy nhiên, khi bệnh nhân muốn thay đồ, chăn ga. Nội quy ghi 8h 30 hàng ngày, nhưng có hôm thì trước 7h có hôm 9h,… ?? Thực sự chấm hỏi. Bố em nằm trong viện, đau k đi được. Người nhà đã ra canh rất nhiều lần- cụ thể là em …",Bệnh viện Hữu nghị Đa khoa Nghệ An,1 sao,"3,6"
"Cách đây 3 tuần con mình k có bảo hiểm nhưng được khám rất tận tình, có bác sĩ Thuỳ trẻ tuổi bên khoa nhi rất nhiệt tình và chu đáo, hướng dẫn và tìm mọi cách để mình được sử dụng bảo hiểm nhưng rất tiếc là không được, rất khuyến khích tinh …",Bệnh viện Hữu nghị Đa khoa Nghệ An,5 sao,"3,6"
"5 sao này là dành cho bác sĩ Lê Thị Hồng Thúy và chị điều dưỡng  Phương Mai ở phòng phám 205 khoa Dị ứng lâm sàng. Nhiệt tình, nhẹ nhàng, giải thích cho bệnh nhân rõ ràng, phải phép.",Bệnh viện Hữu nghị Đa khoa Nghệ An,5 sao,"3,6"
