comment,hospital,star,rating
"Thái độ của nhân viên y tế khoa ngoại khá tệ ( ng nhà không biết hỏi thì quay ra thái độ  kêu nói linh tinh nữa cho về khoa k làm siêu âm nữa 🤣) đúng chán. Cay, quan sát thấy nhiều người có tuổi rồi họ hỏi thì nhân viên cáu gắt. Ai có trải nghiệm như mình thì like cmt cho mình đỡ tủi nhé.kkk …",Bệnh viện Đa khoa tỉnh Gia Lai,1 sao,"2,7"
Bộ y tế nên thanh tra các nhân viên tới bác sĩ! OĐã rất nhiều dân phản ánh không có 1 cán bộ đầu ngành đứng ra bên phía người dân.,Bệnh viện Đa khoa tỉnh Gia Lai,1 sao,"2,7"
Thái độ từ y tá đến bác sĩ đều tệ nch ko tôn trọng người khác kinh thường và lừa đảo,Bệnh viện Đa khoa tỉnh Gia Lai,1 sao,"2,7"
"Ông ngoại vợ tôi nhập viện điều trị bệnh phổi,nằm mấy ngày ngột ngạt,ra ngoài đi lại y tá thái độ vs người lớn ko biết tôn trọng người lớn tuổi,còn to tiếng với ông,,,,bệnh viện cho xuất viện lúc trưa về nhà ngủ đc đêm đau lại,sáng hôm sau …",Bệnh viện Đa khoa tỉnh Gia Lai,1 sao,"2,7"
"Nên xem xét lại khoa ngoại lấy tiền đỡ đẻ 1tr trở lên
Tôi đi đẻ vì k có thư nên họ bỏ bê tôi mặc tôi gào thét thể nào đó chẳng nữa họ không thấy xót tôi lên phòng đẻ từ 1h sáng họ bắt tôi 5h sáng mới được rặn ❌❌☠️ …",Bệnh viện Đa khoa tỉnh Gia Lai,1 sao,"2,7"
Đây là tuyến điều trị bệnh nhân nặng tầng 3 của tỉnh Gia Lai. Ngoài ra còn điều trị cho bệnh nhân nước bạn Lào và Campuchia. Để chuyển tuyến điều trị lên tuyến Trung ương cũng cần phải khám và điều trị tại Bệnh viện đa khoa tỉnh Gia Lai. …,Bệnh viện Đa khoa tỉnh Gia Lai,5 sao,"2,7"
"Đi khám Khoa Răng hàm mặt buổi chiều trong khi chỉ có 3 bệnh nhân nhưng khám rất lâu, đợi hơn 3 tiếng vẫn chưa được làm. Bác sĩ không tôn trọng bệnh nhân, thời gian của ai cũng quý báu thì phải biết chứ",Bệnh viện Đa khoa tỉnh Gia Lai,1 sao,"2,7"
"bệnh viện mà giống như cái sòng bạc bên cam. nhân viên và bác sĩ thì ĂN TO NÓI LON. quát nạt người bệnh là giỏi.vệ sinh bệnh viện thì kém, vừa bẩn vừa hôi.ko bằng 1 góc BV 211  .thái độ lồi lỏm từ thằng giữ xe cho đến nhân viên,y tá,bác sĩ. …",Bệnh viện Đa khoa tỉnh Gia Lai,1 sao,"2,7"
Chưa gặp bệnh viện nào bà bầu chuyển dạ đau sắp đẻ phải tự đi đến phòng đẻ và tự mang đồ đẻ vào. Hết nhân viên à. lại còn không cho người nhà vào dìu hay sách đồ hộ,Bệnh viện Đa khoa tỉnh Gia Lai,1 sao,"2,7"
"Bệnh nhân bị mất tiền trong khoa tổng hợp , mà thấy bác sỹ khoa trực k quan tâm j cả ,
thái độ bùn thật sự",Bệnh viện Đa khoa tỉnh Gia Lai,1 sao,"2,7"
"Bệnh viện Bình An Gia Lai địa chỉ 134 đường Tôn Thất Tùng, TP Pleiku, Gia Lai.
Đây là Bệnh viện ngoài công lập, trước liên danh với BVĐK Tỉnh Gia Lai để làm khu điều trị kỹ thuật cao nhưng chưa triển khai được. …",Bệnh viện Bình An Gia Lai,4 sao,"4,8"
Tháng 1/2022 vẫn đang chữa covid. Chưa hoạt động.,Bệnh viện Bình An Gia Lai,5 sao,"4,8"
Khi nào mới đi làm vậy?,Bệnh viện Bình An Gia Lai,4 sao,"4,8"
"Bệnh viện quá tệ vừa đắt vừa tốn tiền tốn thời gian dẫn vợ đi siêu âm từ 9h sáng tới 15h chiều chưa xong có đúng 1 phòng siêu âm, nói qua loa k thấy được gì khuyên mọi người không nên đến đây chỉ phí tiền tốn thời gian tiền thì lấy trước đợi chờ mòn chả được tích sự gì… nên đi khám chỗ khác dịch vụ tốt hợ",Bệnh viện Hùng Vương Gia Lai,1 sao,"3,3"
"Bác sĩ không có nhiều kinh nghiệm, chuyên môn kĩ thuật đều không giỏi. Tôi đến điều trị 1 ngày, qua ngày thứ 2 phải xin ra viện vì bác sĩ không chuyên đặt ống dẫn truyền tĩnh mạch sai,khi yêu cầu bác sĩ kiểm tra, họ chỉ bảo tôi chườm đá qua …",Bệnh viện Hùng Vương Gia Lai,1 sao,"3,3"
"Tôi chưa trải nghiệm khám, chữa bệnh ở đây. Nhưng điều ấn tượng là bệnh viện khá sạch sẽ, dịch vụ đầy đủ.",Bệnh viện Hùng Vương Gia Lai,4 sao,"3,3"
