comment,hospital,star,rating
"Bệnh viện mới, sạch sẽ. Nhân viên phục vụ tốt.",Phòng Khám Đa Khoa Bình An,4 sao,"3,7"
thành lập chuỗi liên minh liên kết phòng khám - bệnh viện,Phòng Khám Đa Khoa Bình An,1 sao,"3,7"
TỐT. BS khám cũng nhẹ nhàng.,Phòng Khám Đa Khoa Bình An,4 sao,"3,7"
rất tốt,Phòng Khám Đa Khoa Bình An,4 sao,"3,7"
Phục vụ tận tình,Phòng Khám Đa Khoa Bình An,4 sao,"3,7"
😘 …,Phòng Khám Đa Khoa Bình An,5 sao,"3,7"
"Thái độ , không quan đến bệnh nhân , bác sĩ y tá thì ngồi tám chuyện mặc kệ người bệnh hỏi thì mới trả lời , phòng thu ngân người bệnh chưa hỏi xong mà cứ đứng đòi tiền",PKĐK Bình An - KCN,1 sao,"3,5"
"Không hài lòng
Công nhân khám bệnh xin giấy ốm nên đến bệnh viên hay phòng khám khác",PKĐK Bình An - KCN,1 sao,"3,5"
"Phòng khám mới, sạch sẽ. Chất lượng chuyên môn bác sĩ ổn, tư vấn nhiệt tình.",PKĐK Bình An - KCN,5 sao,"3,5"
Chất lượng khá tốt.,PKĐK Bình An - KCN,5 sao,"3,5"
"Xin giấy nghĩ ốm mà dắt đi 1 vòng khám đủ thứ
Đến lúc thanh toán thu ngân thái độ rất tệ nên xem xét đào tạo lại đi
không hỏi khách có lấy thuốc hay không mà làm thanh toán luôn là sao ??? …",Bệnh viện Đa khoa Thăng Hoa,1 sao,"3,0"
"Ở khoa mắt của bệnh viện này có bác sĩ nữ lấy mộng( mộng mắt) sạch sẽ, tỉ mĩ, còn mấy bác sĩ nam lấy ẩu quá ẩu, lấy vẫn còn mộng  nhiều, mong các vị hãy cố gắng làm tròn trách nhiệm của 1 bác sĩ, gần nhà mình có bác đó lớn tuổi lấy lấy mộng thịt ở đây  nhưng vẫn còn mộng .",Bệnh viện Đa khoa Thăng Hoa,1 sao,"3,0"
"Chất lượng khá ổn.
Có bác sĩ giỏi.
Nằm trên trục quốc lộ.
Sẽ ghé thăm lại",Bệnh viện Đa khoa Thăng Hoa,4 sao,"3,0"
