comment,hospital,star,rating
"Nhìn chung mọi thứ khá ổn. Nhưng riêng phần siêu âm nên bổ sung thêm 1 phòng nữa, thời gian chờ đợi rất lâu, từ 1-3 giờ, người chờ thì đông, nhịn đói chờ rất mệt mỏi, có người ngất đi vì mệt trong lúc chờ. Thật sự rất cần thiết nếu k muốn mất đi một lượng bệnh nhân ko muốn đến đây nữa vì cảnh chờ đợi không đáng có này.",Bệnh viện Đa khoa Tp. Buôn Ma Thuột,3 sao,"3,3"
Khoa răng hàm mặt làm việc ko hề oke chút nào làm việc rất ẩu tả không coi trọng bệnh nhân làm cho có bác sĩ nói chuyện nạt nổ người khác nhiều người đi khám cùng cũng nói bác sĩ ko oke chút nào,Bệnh viện Đa khoa Tp. Buôn Ma Thuột,1 sao,"3,3"
"Bệnh viện thành phố Buôn Ma Thuột lớn nhất chính là bệnh viện đa khoa, có địa chỉ tại 99 Nguyễn Đình Chiểu, Tân Lợi, Thành phố Buôn Ma Thuột, Đắk Lắk.￼Với quy mô hơn 220 giường bệnh, 18 khoa phòng với hơn 280 y, bác sỹ, dược sỹ, bệnh viện …",Bệnh viện Đa khoa Tp. Buôn Ma Thuột,5 sao,"3,3"
"Bệnh viện đội ngủ bác sĩ nhiệt tình. Vui vẻ. Vệ sinh sạch sẽ, riêng giữ xe thì không nói nên lời, như vậy sao dắt xe đây cạn lời á, nhờ dắt thì cách nói chuyện rất thiếu tình người , đã không dắt thì làm ơn chừa đường cho người ta tự lấy xe ok...",Bệnh viện Đa khoa Tp. Buôn Ma Thuột,4 sao,"3,3"
"Bữa nay đang dịch Covid nên bệnh nhân và người nhà cần khai báo y tế trước khi vô bệnh viện. Khoa Thận người nhà cần mặc đồng phục trước khi vô thăm. Bệnh viện k mới nhưng sạch sẽ, vệ sinh. Bác sỹ, y tá tận tình, chu đáo",Bệnh viện Đa khoa Tp. Buôn Ma Thuột,5 sao,"3,3"
Giữ xe qua đêm đến 7h30 sáng thu thêm tiền ngày. Đưa vô cấp cứu ra 5 phút thu tiền đã ko ý kiến gì. Bs khá ok,Bệnh viện Đa khoa Tp. Buôn Ma Thuột,4 sao,"3,3"
"Giữ xe thái độ với bệnh nhân, có 1 em trai vô lễ với người già bạo lực với trẻ em",Bệnh viện Đa khoa Tp. Buôn Ma Thuột,1 sao,"3,3"
"6h58 phút đi gửi mẫu xét nghiệm. Không có người nhận hỏi 1 bạn BS gần đó không thèm nhìn, không thèm hướng dẫn nói ấn chuông đi có người ra lấy, ấn chuông không thấy ai ra, đợi một xíu thấy có bạn mới tới (Mới vào ca nên không thấy mặc đồng …",Bệnh viện Đa khoa Tp. Buôn Ma Thuột,1 sao,"3,3"
Khám thì nhanh thanh toán lấy thuốc thì nâu khoảng 2/5h-3h có khi 4h hơn mới song,Bệnh viện Đa khoa Tp. Buôn Ma Thuột,3 sao,"3,3"
"Đây là lần đầu tiên mình khám và sanh con ở đây
Trải nghiệm của mình ở đây là rất tệ một bệnh viện của thành phố mà để bà bầu đợi siêu âm từ 11h30 tới gần 3h chiều mới siêu âm …",Bệnh viện Đa khoa Tp. Buôn Ma Thuột,1 sao,"3,3"
