comment,hospital,star,rating
"Bác sĩ kim (kèm hình ảnh )
Ngày 25/6/2024 mình vào xin giấy chuyển qua bv phổi .vì đã có chỉ định lao phổi tái phát …",Bệnh Viện Thành phố Phan Thiết,1 sao,"3,1"
Khám bệnh lần nào cũng phải đợi đến tận 2 tiếng đồng hồ để được gọi tên vô khám. Làm việc chậm chạp.,Bệnh Viện Thành phố Phan Thiết,1 sao,"3,1"
Nhân viên ở bãi giữ xe thái độ rất tệ bệnh viện đứt cáp ko khám vậy mà vẫn đưa phiếu giữ xe để lấy tiền,Bệnh Viện Thành phố Phan Thiết,1 sao,"3,1"
"đổi  chỗ kham bệnh: mỗi Đầu quý , đổi ở Bảo hiểm tỉnh ( gần trường Lê Lợi, Xuân An) …",Bệnh Viện Thành phố Phan Thiết,1 sao,"3,1"
Nhân viên giữ xe ở trong bãi rất lẽo mép.thấy là nữ cũng lớn tuổi rồi thôi.chớ là nam thì ăn zã r,Bệnh Viện Thành phố Phan Thiết,1 sao,"3,1"
Bệnh nhân nhiều Y Bác sĩ ít nên khám chữa bệnh hơi chậm .,Bệnh Viện Thành phố Phan Thiết,3 sao,"3,1"
Cảm ơn bác sĩ Võ Thị Kim Ngưu đã giúp đỡ gia đình tôi khi con trai tôi bị viêm phổi!,Bệnh Viện Thành phố Phan Thiết,4 sao,"3,1"
Khám bênh mất cả buổi . Lần nào cũng vậy,Bệnh Viện Thành phố Phan Thiết,2 sao,"3,1"
Tạm được,Bệnh Viện Thành phố Phan Thiết,4 sao,"3,1"
Nhân viên trực ban nói chuyện đốp chát.,Bệnh Viện Thành phố Phan Thiết,4 sao,"3,1"
"Nuôi bệnh nhiều lần, mà các anh chị y tá, điều dưỡng ở khoa tim mạch rất dễ thương và nhiệt tình, siêu quý và cảm ơn các anh chị. Nhưng khoa ngoại tổng quát thì y như rằng y tá điều dưỡng như bị câm í, vào đo huyết áp thì cứ bao rằng vào đo …",Bệnh viện Đa khoa Tỉnh Bình Thuận,1 sao,"2,5"
