comment,hospital,star,rating
"Lương y như từ mẫu chỉ đúng trên lý thuyết hoặc chỉ có 1% lương y như từ mẫu thôi . Thái độ các cô y tá thật tệ mọi người ạ. Con em nhập viện bị ói mửa đau bụng đêm hôm trước  với dự đoán viêm ruột ,sáng hôm sau 8h bsi tới khám thì nói cháu …",Bệnh viện Đa khoa Thành Phố Quy Nhơn,1 sao,"2,8"
"LÊN ÁN THÁI ĐỘ VÀ KIẾN THỨC CHUYÊN MÔN 😡😡😡😡😡🤬🤬🤬🤬🤬🤬
Bệnh viện tệ nhất trên đời này, từ y tá, bác sĩ chuyên môn rất kém. Thật sự là mình là một người trong ngành y, dẫn người nhà đi khám mà thấy thiếu kiến thức …",Bệnh viện Đa khoa Thành Phố Quy Nhơn,1 sao,"2,8"
Đi khám vì đau đầu.chóng mặt không cho đi xét nghiệm hay chụp phim hay nội soi gì hết chỉ nghe nói như vậy là chuẩn đoán bệnh là viêm xoang rồi cho đơn thuốc kháng sinh với giảm đau với bổ não.( Y như tiệm thuốc tây) Đề nghị cấp trên xem xét lại cách khám bệnh.bv mà như này còn thua phòng khám nữa,Bệnh viện Đa khoa Thành Phố Quy Nhơn,2 sao,"2,8"
"Các cô y tả của bệnh viện này k tốt thái độ , bệnh nhân đi khám chụp x Quang cửa của tần 5 bị đống , ba cũng em để quên đồ trong phòng nên vào lấy , ra thấy cửa đống thì có nhờ 1 cô y mở , cô ấy thái độ , tui đau có rảnh mà mở , ngta đi …",Bệnh viện Đa khoa Thành Phố Quy Nhơn,1 sao,"2,8"
"Mình k hiểu sao lại có 1 cái bệnh viện mà tệ như thế này, thu tiền cho đã rồi dịch vụ thì kém cỏi, chỗ dọn vệ sinh dơ hầy thêm cái nữa là cả bác sĩ hay là điều dưỡng đều k giỏi. Hôm trước ông mình bị nặng quá phải đi cấp cứu, rồi vô trong …",Bệnh viện Đa khoa Thành Phố Quy Nhơn,1 sao,"2,8"
"Thái độ phục vụ người dân của y bác sĩ, bảo vệ, điều dưỡng còn thiếu giáo dục. dù sao cũng thông cảm vì nó là vấn nạn của nền y tế cả nước vì sự quá tải làm họ thiếu kiềm chế nói năng cộc cằn thô lỗ",Bệnh viện Đa khoa Thành Phố Quy Nhơn,3 sao,"2,8"
"mình lớn rồi mới nghe được bà mình kể nên giờ mình sẽ đánh giá. thật sự mấy ngừoi y tá rất thất đức rất tệ họ ghét nhầm nhà mình vì tưởng nhà mình quen biết nhờ bác sĩ này bác sĩ nọ, họ cắm kim truyền nước mà ko cho nước chạy? xong còn chửi …",Bệnh viện Đa khoa Thành Phố Quy Nhơn,1 sao,"2,8"
"Thái độ tư vấn, hướng dẫn rất trịch thượng, bác sĩ hay y tá cũng là một nghề, và bệnh viện bây giờ là một ngành dịch vụ. Bệnh viện đa khoa mà lại trở thành vấn nạn, khiến 9/10 tới khám đều bất mãn về thái độ. Nên ra ngoài, học hỏi những …",Bệnh viện Đa khoa Thành Phố Quy Nhơn,1 sao,"2,8"
"Bệnh viện được xây thêm vài toà nhà mới để phục vụ đủ bệnh nhân. Cũng mới hơn, sạch sẽ hơn, không đông đúc chật trội như xưa. Phòng của bệnh nhân cũng nhiều hơn trước để phục vụ đủ cho bệnh nhân. Có cầu thang máy giúp đi lại thuận tiện hơn. Nhưng bệnh viện chưa có khu để xe riêng. Nên còn chưa hợp lý. Diện tích bệnh viện không quá to.",Bệnh viện Đa khoa Thành Phố Quy Nhơn,4 sao,"2,8"
"Trời ơi t chưa bao giờ thấy cái bệnh viện nào tệ như cái bệnh viện này, bác sĩ bắt bệnh nhân ngồi chờ mấy tiếng đồng hồ trong khi bác sĩ ngồi đó chơi game cười ha hả, bộ mắc cười lắm hả? Bệnh nhân người ta ho rát cả cổ bắt ngồi chờ, hỏi thì …",Bệnh viện Đa khoa Thành Phố Quy Nhơn,1 sao,"2,8"
Bệnh viện đa khoa Bình Định TP Quy Nhơn khá sạch đẹp. Bác sỹ nhiệt tình . Dịch vụ ngang các bv quốc tế & tư nhân,Bệnh viện Bình Định,4 sao,"2,9"
"Mình ở ĐN về quê khám thai thì cảm nhận chất lượng dịch vụ không tương xứng với chi phí. Ngoại trừ BS, Đd của phòng sản okie nhiệt tình thân thiện thì thái độ của lễ tân với bảo vệ đúng là hết nước chấm, lễ tân đứng nhìn bầu đi tới đi lui …",Bệnh viện Bình Định,3 sao,"2,9"
"Sáng thì có BS khám, chiều có xét nghiệm quay lại thì đóng cửa, đẩy qua phòng và những người ko liên quan chẩn đoán",Bệnh viện Bình Định,2 sao,"2,9"
"Bệnh viện chán không muốn nói. Y tá đi gọi thì ko qtam bệnh nhân , gây khó khăn cho ng chăm và bệnh nhân còn chuyền nước thì bình bị lỗi j thì y tá ko chịu qua chú kia bị chạy máu cg ko qua liền .  Bác sĩ thì k có tiền lót tay thì kéo dài …",Bệnh viện Bình Định,1 sao,"2,9"
"Bệnh viện sạch sẽ, tuy nhiên bác sĩ chưa thật sự có tâm. Tư vấn thiên nhiều về thương mại hoá hơn là nghĩ đến tài chính của bệnh nhân.  Mình khám ung thư cổ tử cung ở đây, trang thiết bị chưa đầy đủ nên chỉ lấy mẫu test rồi  phải chuyển vào …",Bệnh viện Bình Định,1 sao,"2,9"
"Đánh giá lần 1:
Lần đầu tiên về quê khám thai, vào bv này khám thì cảm nhận đầu tiên cơ sở mới, bs và y tá nhiệt tình. Tuy nhiên, thời tiết nóng đổ lửa mà vào bv chỉ có phòng …",Bệnh viện Bình Định,2 sao,"2,9"
"Tôi và gia đình đa trải nghiệm cực tệ tại bệnh viện này . Cơ sở vật chất thang máy có như ko, hư lỗi cũng  ko ai hướng dẫn , y tá ở Khoa Tiêu Hoá thì ko hiểu được tranning kĩ hay ko thái độ vô lễ cười khểnh khi người lớn tuổi thắc mắc hỏi. …",Bệnh viện Bình Định,2 sao,"2,9"
Bệnh viện quá tệ. Bầu muốn sinh thường toàn cứ bắt đi mổ trong khi thai vẫn bt ổn không có vấn đề. Giục mổ 1 lần không đồng ý. Sáng 5h sáng hộ tá vào gọi tên ra in giấy cam kết phẩu thuật bắt kí. Hỏi ra thì bảo bs chỉ định. Xong nói 1 hồi thì bảo đợi bs lên nói chuyện. Này chạy KPI mổ hay gì??? Dv mà quá tệ.,Bệnh viện Bình Định,1 sao,"2,9"
"Bệnh viện rất tốt đội ngũ y bs tận tình, sạch sẽ chu đoá",Bệnh viện Bình Định,5 sao,"2,9"
"Dịch vụ tệ, phục vụ kém, giá cả không xức đáng,
Tôi khám đau dây thân kinh toạ Bác sĩ ở đây không tư vấn được gì, không giúp được gì, thà biết vậy ở nhà tốt hơn
Ở đây bày vẽ để bệnh nhân tốn tiền.",Bệnh viện Bình Định,1 sao,"2,9"
Bệnh viện tổ chức khám tư vấn sức khỏe và tập vật lý trị liệu cho bà con   trên địa bàn khu vực miền trung trong 1 ngày thứ 7 ngày 15/7/2023,Bệnh viện Quân y 13,5 sao,"4,2"
"Khám sức khỏe bổ sung hồ sơ xin việc làm mà khám xong ra chờ đóng dấu quá lâu, ngồi chờ 45 phút mà chưa ra giấy, dù tới sớm hay tới trễ cũng ngồi chờ, chờ cả người vào khám sau cả buổi. Sài gòn khám cũng khám sơ rồi ký giấy 100k mà nhanh …",Bệnh viện Quân y 13,2 sao,"4,2"
"Một số bác sĩ đặc biệt là bác sĩ ở phòng 01 ít khi có trong phòng và thái độ khó khăn vs bệnh nhân. Nhưng nhìn chung không gian thoáng mát không chen chúc, thoải mái.",Bệnh viện Quân y 13,3 sao,"4,2"
Bệnh viện khang trang với đội ngũ y bác sĩ giỏi.,Bệnh viện Quân y 13,4 sao,"4,2"
