comment,hospital,star,rating
"Bác sĩ,y tá nội khoa 1 quá thái độ,có kết quả rồi mà không thèm thông báo phải chờ vô hỏi,đã không cho chuyển viện thì nói ngay từ đầu đi bắt người ta đi lòng vòng mất thời gian. Chắc là muốn có tiền đây mà :)))",Bệnh viện Đa khoa TP. Đồng Hới,1 sao,"3,2"
"Mang tiếng nằm phòng dịch vụ, mà thái độ phục vụ không khác nằm thường… quá tệ",Bệnh viện Đa khoa TP. Đồng Hới,1 sao,"3,2"
"Bác sĩ thái độ thái độ rất tệ, dịch vụ kém chất lượng",Bệnh viện Đa khoa TP. Đồng Hới,1 sao,"3,2"
"Chất lượng trình độ đội ngũ quá kém. Chẩn đoán viêm ruột thừa cũng không chẩn đoán ra, siêu âm thì sơ Sài, làm như cho có, đợi đến khi ruột thừa vỡ, phải mổ cấp cứu lại đổ cho bệnh nhân. Toàn là trung cấp liên thông , cũng tự dưng xanh là bs y tá, nếu thiếu kiến thức, thì cố mà làm việc cẩn thận. Đã thiếu kiến thức còn thiếu ý thức.",Bệnh viện Đa khoa TP. Đồng Hới,1 sao,"3,2"
"5 sao cho các Bác sỹ tận tình.
1 sao cho công tác tiếp đón bệnh nhân.
Bố trí phòng chờ cho bệnh nhân không hợp lý, không hướng dẫn bệnh nhân xếp hàng, dẫn đến chen lấn",Bệnh viện Đa khoa TP. Đồng Hới,3 sao,"3,2"
"Thái độ y tá rất tệ vs người nhà bệnh nhân , không hề hợp tác cx như hỗ trợ, lần đầu tiên cx như lần cuối cùng mình gửi người nhà cho bệnh viện điều trị",Bệnh viện Đa khoa TP. Đồng Hới,1 sao,"3,2"
"Tôi mới cho con đi cắt abiđan với nạo va cho bé xong.tôi nhập viện thứ 3 nhưng đến chiều thứ 6mơi được mỗ.trong khi bệnh nhân vào thứ4,thứ 5 thì ngày hôm sau,những bệnh nhân được khám tại phòng khám phòng khám thì bác sĩ ưu tiên.còn bình …",Bệnh viện Đa khoa TP. Đồng Hới,1 sao,"3,2"
"Khuôn viên rộng rãi, thoáng đãng, có nhiều cây xanh. Hành lang giữa các phòng khám chật hẹp, ánh sáng yếu. Hai hàng ghế ở hành lang không đủ cho bệnh nhân ngồi chờ. Xe lăn mỗi lần di chuyển qua hành lang cũng hơi cực.",Bệnh viện Đa khoa TP. Đồng Hới,4 sao,"3,2"
Chất lượng chất lượng dịch vụ ở khoa truyền nhiễm cực thấp,Bệnh viện Đa khoa TP. Đồng Hới,1 sao,"3,2"
Thái độ nhân viên phục vụ quá kém,Bệnh viện Đa khoa TP. Đồng Hới,1 sao,"3,2"
"Là bệnh viện tuyến huyện có cơ sở vật chất hiện đại bậc nhất tỉnh Quảng Bình, đây là bệnh viện ngoài công lập lớn nhất của tỉnh. Hiện tại có hơn 31 khoa phòng, hỗ trợ khám, chữa bệnh cho bà con trong và ngoài tỉnh. …",Bệnh viện Đa khoa TTH Quảng Bình,5 sao,"4,5"
"Bệnh viện sạch sẽ khang trang, thiết bị công nghệ hiện đại, nhân viên y tế chu đáo và nhiệt tình, 10 điểmmm",Bệnh viện Đa khoa TTH Quảng Bình,5 sao,"4,5"
"Bệnh viện sạch đẹp, nhân viên thân thiện, tận tình, bác sĩ tận tình với người bệnh.",Bệnh viện Đa khoa TTH Quảng Bình,5 sao,"4,5"
"Đi khám mà ngỡ như tội phạm đang bị điều tra hỏi cung vậy, Không biết chính xác phòng khám đâu hỏi thì trả lời cộc lốc, thái độ thì hời hợt với bệnh nhân ( không quy chụp hết nhưng mà trải nghiệm một lần sợ tới già )",Bệnh viện Đa khoa huyện Quảng Ninh,1 sao,"3,5"
"Là bệnh viện tuyến huyện của huyện Quảng Ninh, có đầy đủ trang thiết bị y tế khám chữa bệnh cho người dân. Đội ngũ nhân viên y tế có chuyên môn hết lòng tận tình chăm sóc bệnh nhân, là nơi đáng tin cậy để người dân chúng ta khám chữa bệnh",Bệnh viện Đa khoa huyện Quảng Ninh,5 sao,"3,5"
"Là bệnh viện tuyến huyện của huyện Quảng Ninh, trang thiết bị rất tốt hỗ trợ khi người dân gặp khó khắn. Đội ngũ nhân viên y tế có chuyên môn hết lòng tận tình chăm sóc bệnh nhân, là nơi đáng tin cậy để người dân chúng ta khám chữa bệnh",Bệnh viện Đa khoa huyện Quảng Ninh,5 sao,"3,5"
"Địa chỉ dễ tìm, thuận tiện, kết quả có nhanh chóng. Kết quả xét nghiệm ADN chính xácĐịa chỉ dễ tìm, thuận tiện, kết quả có nhanh chóng. Kết quả xét nghiệm ADN chính xác",Trung tâm Phòng chống Bệnh xã hội tỉnh Quảng Bình,5 sao,"4,8"
"Tư vấn chuyên nghiệp, thái độ tốt. Giá xét nghiệm ADN hợp lý. Có kết quả nhanh",Trung tâm Phòng chống Bệnh xã hội tỉnh Quảng Bình,5 sao,"4,8"
Tôi làm xong còn giới thiệu bạn đến làm xét nghiệm ADN. Trung tâm uy tín,Trung tâm Phòng chống Bệnh xã hội tỉnh Quảng Bình,5 sao,"4,8"
"Mẹ tôi đi khám mắt ở đây, khi tới trung tâm thì mắt không mở ra nổi mà bác sĩ ở đây chẩn đoán là viêm xoang. Cho tới khi mẹ tôi đi khám ở viện khác thì được chẩn đoán là viêm mắt Glocom cấp và nay đã chữa khỏi bệnh. Đúng là bác sĩ ở trung tâm này làm việc không có lương tâm.",Bệnh viện Mắt tỉnh Quảng Bình,1 sao,"3,9"
Được rồi,Bệnh viện Mắt tỉnh Quảng Bình,4 sao,"3,9"
"Mình có đưa bé đến khám tật khúc xạ ở bệnh viện và cắt kính cho bé ngay tại Trung tâm Kính Mắt dưới tầng 1. Các bác sĩ và nhân viên rất nhiệt tình, trang thiết bị đo mắt hiện đại, mẫu mã kính hãng đa dạng và có nhiều phân khúc giá cho khách hàng lựa chọn. Lần sau đi khám mình sẽ tiếp tục chọn Việt An.",Bệnh Viện Mắt Việt An,5 sao,"4,7"
"Sáng nay mình đưa mẹ đi khám BHYT ở bv việt an tuy khách khá đông nhưng mình vẫn rất hài lòng về dịch vụ ở đây , không gian thì thoáng mát bác sĩ lại nhiệt tình nữa . cảm ơn bv nhiều",Bệnh Viện Mắt Việt An,5 sao,"4,7"
"Phòng khám sạch sẽ , hiện đại . Nhân viên thân thiện nhiệt tình. Một sự lựa chọn tốt !",Bệnh Viện Mắt Việt An,5 sao,"4,7"
"Bệnh viện rất sạch sẽ, mình thấy cứ cách tầm 1 tiếng là lại có cô lau dọn sàn. Bác sĩ ở đây rất giỏi và tận tình nha, mà còn vui vẻ nữa. Nhà vệ sinh sạch sẽ. Mình Đánh giá cao bệnh viện này.",Bệnh viện Đa khoa Vĩnh Đức,5 sao,"4,3"
"Thời gian chờ quá lâu. Mất 25' từ lúc lấy số đến lúc ra phiếu khám, chờ thêm 20' tại khoa khám, và tiếp tục chờ hơn 1h từ 8h17 đến 9h20 tại khoa siêu âm mà vẫn chưa tới lượt. Bv có đợt khám sức khỏe cho 1 cty nào đó, nhưng dường như việc …",Bệnh viện Đa khoa Vĩnh Đức,1 sao,"4,3"
"Phía trước hết chỗ đậu,xoay sở mãi ra sân sau gặp đúng ông bảo vệ quát to,hết chỗ rồi đi ra ngoài đường mà tìm chỗ đậu,mà rõ ràng còn chỗ,tuy là người già nhưng cư sử vậy với khách hàng thì thật thô lỗ",Bệnh viện Đa khoa Vĩnh Đức,1 sao,"4,3"
