comment,hospital,star,rating
"Dịch vụ quá tệ
Mẹ tôi số thứ tự 32
Mà họ cho STT 40 Vào khám trước …",Bệnh viện Chợ Rẫy,1 sao,"3,7"
"Bv không còn đặt qua tổng đài 028.1080 mà giờ qua app Tekmedi.
Thứ 7 thì ko đặt app dc tự lên bốc số
Bệnh viện đông mọi người nên đi sớm 5h sáng bốc số khám sớm",Bệnh viện Chợ Rẫy,4 sao,"3,7"
"Khuyên mn không nên khám chấn thương chỉnh hình ở đây nha  bà điều dưỡng trong hình hướng dẫn bệnh nhân không chính xác ,  đã có kết quả x quang và điện tim  lưu trên máy rồi mà vẫn bắt bệnh nhân đi lên đi xuống để chụp và đo lại lên tới …",Bệnh viện Chợ Rẫy,1 sao,"3,7"
"Bệnh viện tốt, người nhà và bệnh nhân rất đông. Đội ngũ y bác sĩ tận tâm và cơ sở vật chất hiện đại. Quy trình khám chữa bệnh nhanh chóng, nhưng cần cải thiện thêm về thời gian chờ đợi ở một số khu vực.",Bệnh viện Đại học Y Dược TP.HCM,5 sao,"3,3"
"Chia sẻ Kinh nghiệm 2 lần dẫn người nhà và bản thân đi khám tổng quát, cập nhật tới tháng 10/2024 thuận tiện:
* Trước ngày khám: …",Bệnh viện Đại học Y Dược TP.HCM,4 sao,"3,3"
"Mình hay dẫn ba, mẹ đến đây khám, và thường đặt chổ trước,  tuy nhiên bệnh viện rất đông nên đa số phải chờ …",Bệnh viện Đại học Y Dược TP.HCM,4 sao,"3,3"
"Mình đọc rất nhiều đánh giá của mọi người trước khi chọn nơi đây làm nơi khám bệnh. Sau đây là những điều bản thân cảm nhận được khi khám tại đây:
Bệnh viện đông, rất đông nên mọi người có thể đăng ký trước qua app của bệnh …",Bệnh viện Đại học Y Dược TP.HCM,5 sao,"3,3"
"Rv quy trình khám sương sương của mình thế này.
Được thì mn tải app bóc số để lên thẳng phòng khám trước cho khỏe khỏi phải xếp hàng chờ lâu. …",Bệnh viện Đại học Y Dược TP.HCM,2 sao,"3,3"
"- lần đầu đến khám ở đây tôi khuyên các bạn nên đặt khám đúng chuyên khoa qua app Mepro sẽ đở mất tg nhiều lắm.
- cảm giác choáng khi nhìn thấy dòng người xếp hàng lấy số. …",Bệnh viện Đại học Y Dược TP.HCM,4 sao,"3,3"
"Tôi rất thích BV ĐHYD vì chất lượng dịch vụ cũng như là cách chăm sóc khách hàng của từ Lao công, bảo vệ đến các đội ngũ y - bác sĩ.
Nhưng hôm nay là ngoại lệ. Tôi muốn phản ánh về thái độ phục vụ không đúng mực …",Bệnh viện Đại học Y Dược TP.HCM,1 sao,"3,3"
"Đội ngũ Y - Bác sĩ chuyên môn giỏi, tận tâm ân cần với người bệnh. Trang thiết bị mới hiện đại.
Phòng bệnh yên tĩnh, sạch. …",Bệnh viện Đại học Y Dược TP.HCM,5 sao,"3,3"
"Bv k có làm xn thấp khớp, phải gửi đi đâu đó, hẹn 1 tuần sau mới có kết quả, cách bv 1 đoạn trên đường hồng bàng luôn, cùng lề bv có bãi gửi oto, nhận dc phiếu chỉ định quét qr thanh toán luôn rồi vô phòng khám luôn, khỏi lại thu ngân. Lần …",Bệnh viện Đại học Y Dược TP.HCM,4 sao,"3,3"
"- Chất lượng BS ổn và tốt với mặt bằng chung
- Gửi xe máy đông, hay bị full, nên có thể gửi bên nhà xe Đại Học ở đối diện
- Đặt lịch khám trên App khá tiện, nhưng rất nhanh hết lịch khám giờ sáng. Xếp …",Bệnh viện Đại học Y Dược TP.HCM,4 sao,"3,3"
"Mình thấy mng đánh giá sao  thấp quá, nhưng theo ý kiến cá nhân mình:
- Phòng cấp cứu rất sạch sẽ , tốt hơn rất nhiều 5 năm trước mình từng đến.
- Mình là ca cấp cứu do tai nạn xe, đi nơi nhập thông tin đẩy vô trong là bác sỹ …",Bệnh viện Nhân Dân 115 Đa Khoa,5 sao,"2,2"
"Dịch vụ tốt, phòng sạch sẽ cô mình nằm 6 ngày có bảo hiểm nên chỉ tốn hơn 400k
Mình thấy có dịch vụ giặt đồ, cái này thật tốt cho mấy bệnh nhân và người nhà xa, do mình nhà gần nên không sử dụng",Bệnh viện Nhân Dân 115 Đa Khoa,4 sao,"2,2"
